date,global_index,lag_1,lag_7,rolling_mean_7,rolling_std_7,pct_change,rank,is_latest,is_oficial
2025-04-03,2208,,,,,,,,
2025-04-10,2265,,,,,,,,
2025-04-17,2192,,,,,,,,
2025-04-24,2157,,,,,,,,
2025-05-01,2091,,,,,,,,
2025-05-15,2233,,,,,,,,
2025-05-22,2276,,,,,,,,
2025-05-29,2508,,,,,,,,
2025-06-05,3527,,,,,,,,
2025-06-12,3543,,,,,,,,
2025-06-19,3279,,,,,,,,
2025-06-26,2983,,,,,,,,
2025-07-03,2812,,,,,,,,
2025-07-10,2672,,,,,,,,
2025-07-17,2602,,,,,,,,
2025-07-24,2517,,,,,,,,
2025-07-31,2499,,,,,,,,
2025-08-07,2424,,,,,,,,
2025-08-14,2350,,,,,,,,
2025-08-21,2250,,,,,,,,
2025-08-28,2219,,,,,,,,
2025-09-04,2104,,,,,,,,
2025-09-11,2044,,,,,,,,
2025-09-18,1913,,,,,,,,
2025-09-25,1761,,,,,,,,
2025-10-02,1669,,,,,,,,
2025-10-09,1651,,,,,,,,
2025-10-16,1687,,,,,,,,
2025-10-23,1746,,,,,,,,
2025-10-30,1822,,,,,,,,
2025-11-06,1959,,,,,,,,
2025-11-13,1859,,,,,,,,
2025-11-20,1852,,,,,,,,
2025-11-27,1806,,,,,,,,
2025-12-04,1927,,,,,,,,
2025-12-11,1957,,,,,,,,
2025-12-18,2182,,,,,,,,
2025-12-25,2213,,,,,,,,
2026-01-08,2557,,,,,,,,
2026-01-15,2445,,,,,,,,
2026-01-22,2212,,,,,,,,
2026-01-29,2107,,,,,,,,
2026-02-05,1959,,,,,,,,
2026-02-12,1933,,,,,,,,
2026-02-19,1919,,,,,,,,
2026-02-26,1899,,,,,,,,
2026-03-05,1958,,,,,,,,
2026-03-12,2123,,,,,,,,
2026-03-19,2172,,,,,,,,
2026-03-26,2279,,,,,,,,
2026-04-02,2287,,,,,,,,
2026-04-09,2309,,,,,,,,
2026-04-23,2232,,,,,,,,
2026-04-24,2232,,,,,,,,
